Gesture,Trial,FPS,Latency_ms
Maju,1,3.98,36.67
Maju,2,23.0,27.69
Maju,3,21.64,46.41
Maju,4,19.61,49.08
Maju,5,22.47,49.5
Maju,6,20.51,50.06
Maju,7,23.5,51.18
Maju,8,21.16,49.24
Maju,9,23.51,24.34
Maju,10,23.76,22.9
Maju,11,21.11,45.8
Maju,12,19.67,37.68
Maju,13,23.47,35.6
Maju,14,23.34,55.56
Maju,15,23.88,50.95
Maju,16,21.3,46.39
Maju,17,22.23,50.52
Maju,18,19.61,41.9
Maju,19,22.53,49.1
Maju,20,23.69,34.34
Maju,21,26.71,45.14
Maju,22,18.76,46.11
Maju,23,22.03,43.49
Maju,24,26.98,34.29
Maju,25,24.48,43.89
Maju,26,22.31,39.35
Maju,27,20.52,35.25
Maju,28,20.56,50.02
Maju,29,21.55,41.18
Maju,30,21.47,60.44
Stop,1,8.6,51.13
Stop,2,19.16,43.36
Stop,3,20.3,50.91
Stop,4,19.62,52.92
Stop,5,20.59,51.4
Stop,6,22.83,52.09
Stop,7,21.5,55.88
Stop,8,21.85,42.3
Stop,9,21.92,34.22
Stop,10,22.25,46.02
Stop,11,20.15,51.79
Stop,12,20.72,24.52
Stop,13,21.74,49.76
Stop,14,21.09,53.61
Stop,15,20.9,52.72
Stop,16,18.87,33.77
Stop,17,24.01,52.62
Stop,18,22.09,41.3
Stop,19,22.0,49.54
Stop,20,19.39,47.74
Stop,21,21.31,43.56
Stop,22,19.71,37.26
Stop,23,22.32,52.7
Stop,24,20.69,36.66
Stop,25,19.18,44.54
Stop,26,24.24,42.31
Stop,27,20.97,46.94
Stop,28,22.13,52.54
Stop,29,19.47,49.14
Stop,30,21.63,40.1
Kiri,1,9.83,26.97
Kiri,2,21.58,50.67
Kiri,3,20.25,51.18
Kiri,4,18.06,53.36
Kiri,5,18.18,54.53
Kiri,6,24.86,55.13
Kiri,7,19.53,49.41
Kiri,8,20.57,52.9
Kiri,9,21.24,57.74
Kiri,10,27.39,33.27
Kiri,11,22.7,40.95
Kiri,12,19.22,48.46
Kiri,13,23.4,40.41
Kiri,14,21.99,46.76
Kiri,15,21.7,42.03
Kiri,16,21.98,51.91
Kiri,17,22.7,42.25
Kiri,18,23.48,44.32
Kiri,19,25.58,53.89
Kiri,20,20.79,42.27
Kiri,21,22.54,46.28
Kiri,22,21.53,31.65
Kiri,23,21.38,28.76
Kiri,24,29.74,28.49
Kiri,25,20.58,34.31
Kiri,26,23.29,55.31
Kiri,27,19.94,45.48
Kiri,28,20.23,50.86
Kiri,29,20.29,32.1
Kiri,30,21.94,45.03
Kanan,1,8.81,56.9
Kanan,2,17.9,57.24
Kanan,3,19.22,65.17
Kanan,4,17.36,57.83
Kanan,5,18.23,58.26
Kanan,6,16.39,50.69
Kanan,7,17.64,36.8
Kanan,8,20.94,29.06
Kanan,9,20.98,48.73
Kanan,10,18.88,50.86
Kanan,11,17.75,60.03
Kanan,12,18.89,56.17
Kanan,13,22.69,33.53
Kanan,14,18.81,63.78
Kanan,15,16.57,60.99
Kanan,16,21.18,57.62
Kanan,17,25.56,60.75
Kanan,18,19.94,58.3
Kanan,19,17.45,60.86
Kanan,20,17.48,64.9
Kanan,21,20.88,46.45
Kanan,22,17.71,48.75
Kanan,23,17.84,62.13
Kanan,24,17.55,55.47
Kanan,25,17.34,61.66
Kanan,26,19.3,41.57
Kanan,27,17.87,55.08
Kanan,28,18.5,55.28
Kanan,29,18.77,62.93
Kanan,30,19.07,55.96
