Gesture,Trial,FPS,Latency_ms
Maju,1,0.45,1507.95
Maju,2,8.35,132.67
Maju,3,8.16,101.07
Maju,4,8.93,99.49
Maju,5,8.56,105.71
Maju,6,9.22,101.18
Maju,7,8.66,105.0
Maju,8,8.78,110.48
Maju,9,8.94,119.07
Maju,10,8.63,104.23
Maju,11,8.56,155.85
Maju,12,7.46,102.63
Maju,13,9.1,121.82
Maju,14,8.55,115.72
Maju,15,9.12,99.25
Maju,16,8.53,108.58
Maju,17,8.51,122.42
Maju,18,8.78,138.94
Maju,19,8.59,102.28
Maju,20,8.42,136.96
Maju,21,7.9,99.25
Maju,22,8.78,101.42
Maju,23,7.82,144.08
Maju,24,8.92,106.28
Maju,25,8.17,110.42
Maju,26,8.27,104.73
Maju,27,8.64,105.7
Maju,28,8.85,104.81
Maju,29,8.8,109.13
Maju,30,8.51,106.38
Stop,1,2.87,101.24
Stop,2,7.43,136.15
Stop,3,7.83,115.46
Stop,4,7.35,120.01
Stop,5,7.08,177.06
Stop,6,7.95,117.43
Stop,7,7.33,123.78
Stop,8,7.91,135.09
Stop,9,7.74,115.49
Stop,10,7.84,130.31
Stop,11,7.45,129.9
Stop,12,7.34,132.01
Stop,13,7.78,120.12
Stop,14,7.62,134.76
Stop,15,7.47,121.58
Stop,16,7.57,123.38
Stop,17,7.53,133.42
Stop,18,7.78,132.59
Stop,19,7.41,115.82
Stop,20,7.61,126.05
Stop,21,7.44,119.97
Stop,22,7.4,131.86
Stop,23,7.55,124.44
Stop,24,7.38,140.27
Stop,25,7.42,137.61
Stop,26,7.12,125.23
Stop,27,7.23,126.58
Stop,28,7.46,137.77
Stop,29,7.38,148.43
Stop,30,7.38,138.73
Kiri,1,2.85,118.69
Kiri,2,7.91,143.24
Kiri,3,7.68,113.29
Kiri,4,7.93,114.4
Kiri,5,7.86,132.21
Kiri,6,7.68,153.72
Kiri,7,7.58,109.7
Kiri,8,7.86,134.73
Kiri,9,7.23,119.7
Kiri,10,7.84,117.08
Kiri,11,7.45,159.09
Kiri,12,7.11,148.26
Kiri,13,7.35,122.15
Kiri,14,8.0,131.62
Kiri,15,7.6,116.93
Kiri,16,7.72,126.6
Kiri,17,7.44,177.71
Kiri,18,7.75,133.03
Kiri,19,7.55,123.56
Kiri,20,7.47,119.3
Kiri,21,7.65,130.4
Kiri,22,7.71,127.6
Kiri,23,7.8,116.68
Kiri,24,6.59,155.78
Kiri,25,7.85,127.41
Kiri,26,7.98,122.6
Kiri,27,7.37,122.07
Kiri,28,7.63,130.82
Kiri,29,7.38,134.93
Kiri,30,7.52,120.98
Kanan,1,2.63,141.69
Kanan,2,8.15,102.55
Kanan,3,8.95,105.67
Kanan,4,8.54,105.38
Kanan,5,8.99,111.34
Kanan,6,7.71,204.47
Kanan,7,7.97,102.05
Kanan,8,8.61,107.41
Kanan,9,8.22,136.12
Kanan,10,8.93,106.59
Kanan,11,8.26,125.36
Kanan,12,7.83,100.87
Kanan,13,8.88,109.06
Kanan,14,8.9,114.42
Kanan,15,7.81,178.65
Kanan,16,8.15,137.44
Kanan,17,8.37,102.57
Kanan,18,8.46,100.28
Kanan,19,8.48,137.08
Kanan,20,8.32,98.79
Kanan,21,8.37,105.51
Kanan,22,8.85,106.26
Kanan,23,8.2,113.85
Kanan,24,7.99,113.0
Kanan,25,5.98,369.54
Kanan,26,8.11,107.37
Kanan,27,8.01,132.69
Kanan,28,7.86,116.23
Kanan,29,8.6,113.63
Kanan,30,7.85,134.7
