Gesture,Trial,FPS,Latency_ms
Maju,1,0.45,1507.95
Maju,2,8.35,132.67
Maju,3,8.16,101.07
Maju,4,8.93,99.49
Maju,5,8.56,105.71
Maju,6,9.22,101.18
Maju,7,8.66,105.0
Maju,8,8.78,110.48
Maju,9,8.94,119.07
Maju,10,8.63,104.23
Maju,11,8.56,155.85
Maju,12,7.46,102.63
Maju,13,9.1,121.82
Maju,14,8.55,115.72
Maju,15,9.12,99.25
Maju,16,8.53,108.58
Maju,17,8.51,122.42
Maju,18,8.78,138.94
Maju,19,8.59,102.28
Maju,20,8.42,136.96
Maju,21,7.9,99.25
Maju,22,8.78,101.42
Maju,23,7.82,144.08
Maju,24,8.92,106.28
Maju,25,8.17,110.42
Maju,26,8.27,104.73
Maju,27,8.64,105.7
Maju,28,8.85,104.81
Maju,29,8.8,109.13
Maju,30,8.51,106.38
kanan,1,2.63,141.69
kanan,2,8.15,102.55
kanan,3,8.95,105.67
kanan,4,8.54,105.38
kanan,5,8.99,111.34
kanan,6,7.71,204.47
kanan,7,7.97,102.05
kanan,8,8.61,107.41
kanan,9,8.22,136.12
kanan,10,8.93,106.59
kanan,11,8.26,125.36
kanan,12,7.83,100.87
kanan,13,8.88,109.06
kanan,14,8.9,114.42
kanan,15,7.81,178.65
kanan,16,8.15,137.44
kanan,17,8.37,102.57
kanan,18,8.46,100.28
kanan,19,8.48,137.08
kanan,20,8.32,98.79
kanan,21,8.37,105.51
kanan,22,8.85,106.26
kanan,23,8.2,113.85
kanan,24,7.99,113.0
kanan,25,5.98,369.54
kanan,26,8.11,107.37
kanan,27,8.01,132.69
kanan,28,7.86,116.23
kanan,29,8.6,113.63
kanan,30,7.85,134.7
Kiri,1,2.85,118.69
Kiri,2,7.91,143.24
Kiri,3,7.68,113.29
Kiri,4,7.93,114.4
Kiri,5,7.86,132.21
Kiri,6,7.68,153.72
Kiri,7,7.58,109.7
Kiri,8,7.86,134.73
Kiri,9,7.23,119.7
Kiri,10,7.84,117.08
Kiri,11,7.45,159.09
Kiri,12,7.11,148.26
Kiri,13,7.35,122.15
Kiri,14,8.0,131.62
Kiri,15,7.6,116.93
Kiri,16,7.72,126.6
Kiri,17,7.44,177.71
Kiri,18,7.75,133.03
Kiri,19,7.55,123.56
Kiri,20,7.47,119.3
Kiri,21,7.65,130.4
Kiri,22,7.71,127.6
Kiri,23,7.8,116.68
Kiri,24,6.59,155.78
Kiri,25,7.85,127.41
Kiri,26,7.98,122.6
Kiri,27,7.37,122.07
Kiri,28,7.63,130.82
Kiri,29,7.38,134.93
Kiri,30,7.52,120.98
stop,1,2.87,101.24
stop,2,7.43,136.15
stop,3,7.83,115.46
stop,4,7.35,120.01
stop,5,7.08,177.06
stop,6,7.95,117.43
stop,7,7.33,123.78
stop,8,7.91,135.09
stop,9,7.74,115.49
stop,10,7.84,130.31
stop,11,7.45,129.9
stop,12,7.34,132.01
stop,13,7.78,120.12
stop,14,7.62,134.76
stop,15,7.47,121.58
stop,16,7.57,123.38
stop,17,7.53,133.42
stop,18,7.78,132.59
stop,19,7.41,115.82
stop,20,7.61,126.05
stop,21,7.44,119.97
stop,22,7.4,131.86
stop,23,7.55,124.44
stop,24,7.38,140.27
stop,25,7.42,137.61
stop,26,7.12,125.23
stop,27,7.23,126.58
stop,28,7.46,137.77
stop,29,7.38,148.43
stop,30,7.38,138.73
